name,ID,start_day,start_time,end_day,end_time,car1,car2,car3,moto1,moto2,moto3,bus1,bus2,bus3,rv1,rv2,rv3,truck1,truck2,taxi1,taxi2,taxi3,date
Downingtown,20040,Monday,00:00:00,Sunday,23:59:59,36.5,54.6,65.9,-1,-1,-1,73.9,110.3,133.4,36.5,54.6,65.9,110.3,133.4,54.6,65.9,65.9,2023/05/29
S.R. 29,20042,Monday,00:00:00,Sunday,23:59:59,38,57.2,68.7,-1,-1,-1,76.6,115.5,138.8,38,57.2,68.7,115.5,138.8,57.2,68.7,68.7,2023/07/03
Valley Forge,20044,Monday,00:00:00,Sunday,23:59:59,38.7,59.2,70.4,-1,-1,-1,78.6,119.4,142.5,38.7,59.2,70.4,119.4,142.5,59.2,70.4,70.4,2023/07/07
Norristown,20046,Monday,00:00:00,Sunday,23:59:59,40.1,59.2,72.8,-1,-1,-1,80.8,119.4,146.8,40.1,59.2,72.8,119.4,146.8,59.2,72.8,72.8,2023/07/11
Fort Washington,20048,Monday,00:00:00,Sunday,23:59:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023/08/04
Virginia Drive ,20050,Monday,00:00:00,Sunday,23:59:59,41.3,61.4,75,-1,-1,-1,83.5,124.4,151.5,41.3,61.4,75,124.4,151.5,61.4,75,75,2023/08/08
Willow Grove,20052,Monday,00:00:00,Sunday,23:59:59,42.3,61.4,75,-1,-1,-1,85.4,124.4,151.5,42.3,61.4,75,124.4,151.5,61.4,75,75,2023/07/01
Bensalem,20054,Monday,00:00:00,Sunday,23:59:59,43.3,63.6,77.2,-1,-1,-1,87.6,128.6,156.4,43.3,63.6,77.2,128.6,156.4,63.6,77.2,77.2,2023/08/15
St. Rd ,20058,Monday,00:00:00,Sunday,23:59:59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023/08/12
Neshaminy Falls,20060,Monday,00:00:00,Sunday,23:59:59,45,65.9,79.4,-1,-1,-1,90.9,133.4,160.9,45,65.9,79.4,133.4,160.9,65.9,79.4,79.4,2023/08/19
Mid-County,21000,Monday,00:00:00,Sunday,23:59:59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023/08/05
Lansdale,21002,Monday,00:00:00,Sunday,23:59:59,41.5,61.4,75,-1,-1,-1,84.6,124.4,151.5,41.5,61.4,75,124.4,151.5,61.4,75,75,2023/08/28
Quakertown,21004,Monday,00:00:00,Sunday,23:59:59,43.3,63.6,79.4,-1,-1,-1,87.6,128.6,160.9,43.3,63.6,79.4,128.6,160.9,63.6,79.4,79.4,2023/08/24
Lehigh Valley,21006,Monday,00:00:00,Sunday,23:59:59,44.5,65.9,81.8,-1,-1,-1,89.9,133.4,165.3,44.5,65.9,81.8,133.4,165.3,65.9,81.8,81.8,2023/08/22
Mahoning Valley,21008,Monday,00:00:00,Sunday,23:59:59,47.3,70.4,86.4,-1,-1,-1,95.6,142.5,174.2,47.3,70.4,86.4,142.5,174.2,70.4,86.4,86.4,2023/09/10
S.R. 903,21010,Monday,00:00:00,Sunday,23:59:59,48.3,72,89,-1,-1,-1,97.9,145.5,179.8,48.3,72,89,145.5,179.8,72,89,89,2023/08/19
Pocono,21012,Monday,00:00:00,Sunday,23:59:59,49.1,72.8,90.9,-1,-1,-1,99.5,146.8,183.5,49.1,72.8,90.9,146.8,183.5,72.8,90.9,90.9,2023/08/05
Wilkes-Barre,21014,Monday,00:00:00,Sunday,23:59:59,50.6,75,93.1,-1,-1,-1,102.6,151.5,188.1,50.6,75,93.1,151.5,188.1,75,93.1,93.1,2023/08/28
Wyoming Valley,21016,Monday,00:00:00,Sunday,23:59:59,51.8,77.2,93.1,-1,-1,-1,104.5,156.4,188.1,51.8,77.2,93.1,156.4,188.1,77.2,93.1,93.1,2023/08/24
,,,,,,,1473,,,,,,,,,,,,,,,,
